iter	Passed	Remaining
0	0	94
1	2	118
2	3	116
3	4	115
4	5	108
5	6	104
6	7	101
7	8	98
8	9	98
9	10	96
10	11	96
11	13	95
12	14	93
13	15	93
14	16	90
15	17	90
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	23	83
22	24	82
23	25	80
24	26	79
25	27	77
26	28	76
27	28	74
28	30	73
29	30	71
30	31	71
31	32	69
32	33	69
33	35	68
34	36	66
35	37	66
36	38	64
37	39	63
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	61	40
60	62	39
61	63	38
62	64	37
63	64	36
64	66	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
